id;nom;code
1;Hawaii;Analyst
2;withdrawal end-to-end;dynamic Credit Card Account Manager
3;Metical Buckinghamshire Integration;TCP
4;unleash ubiquitous Handmade;Dynamic mint green Bedfordshire
5;clicks-and-mortar;intangible deposit Officer
6;Yemeni Rial Money Market Account;Creative e-services Home Loan Account
7;South Carolina;Handcrafted Concrete Fish West Virginia
8;Supervisor back-end;Centers Intelligent Soft Pizza
9;Iowa Bedfordshire maroon;solid state CSS
10;Accountability Enhanced;AI withdrawal
